entry,lep_pt_0,lep_pt_1,lep_pt_2,lep_pt_3,lep_eta_0,lep_eta_1,lep_eta_2,lep_eta_3,lep_phi_0,lep_phi_1,lep_phi_2,lep_phi_3,lep_E_0,lep_E_1,lep_E_2,lep_E_3,lep_charge_0,lep_charge_1,lep_charge_2,lep_charge_3,lep_type_0,lep_type_1,lep_type_2,lep_type_3,lep_z0_0,lep_z0_1,lep_z0_2,lep_z0_3,lep_sigd0_0,lep_sigd0_1,lep_sigd0_2,lep_sigd0_3,lep_ptconerel_0,lep_ptconerel_1,lep_ptconerel_2,lep_ptconerel_3,lep_etconerel_0,lep_etconerel_1,lep_etconerel_2,lep_etconerel_3,min_mll,mZ1,mZ2,mllll
470,137.6709844,69.298375,66.57489844,30.12174805,-1.2037975,-2.051462,-1.4221102,-2.3975194,2.3293912,2.1042178,1.3383169,-0.78348285,250.0656875,273.9992813,146.0342188,166.9770625,-1,1,1,-1,11,11,13,13,0.06092167,0.21186543,-0.039055824,-0.010987282,1.2819089,2.2137656,3.511325,1.0855108,0,0,0,0,0.015120651,-0.006881763,-0.003837572,-0.001171945,88.07509228,90.41355754,88.07509228,246.6218573
471,71.31069531,67.87742969,45.33115234,14.19785059,-0.5312438,0.09204718,-0.637438,1.7608328,1.6089488,-1.821014,-0.22652611,-0.3497606,81.61224219,68.1651875,54.85689063,42.51688281,1,-1,-1,1,11,11,11,13,-0.08148241,0.00032568,0.061584473,-12.031923,0.86935943,1.4992092,0.8101128,20.90869,0,0,0,0,0.028777665,-0.020465517,-0.005290227,0.010817211,90.51501161,144.5819489,76.57269828,242.8201876
472,216.8158281,129.0562813,71.53590625,49.19754688,0.13839434,0.0989935,0.5309843,0.09118861,-1.7501789,1.0757794,-1.0982766,3.1393242,218.8955,129.6891563,81.85972656,49.40223828,1,1,-1,-1,13,11,13,11,0.02545929,0.022655487,-0.012081146,-0.005817413,4.171152,0.13337855,2.2109625,2.317094,0,0,0.033700563,0,-0.000715974,-0.006058342,-0.009381459,0.010292209,93.71617976,136.7695437,93.71617976,442.6395467
473,126.8958438,27.34257227,19.19662891,13.9813252,1.0329288,0.94988155,-0.8509755,1.085007,0.22962037,-1.5704099,0.05833082,-3.0811038,200.8282188,40.63380078,26.57704688,23.05097266,1,-1,-1,1,13,13,11,13,-0.014075518,-0.007824659,-0.04096341,0.92341256,3.4409413,1.3041713,2.9032896,15.226711,0,0,0,0.67110264,-0.003424625,-0.029855061,-0.004634697,0.23186521,26.93854193,92.4130474,49.35318429,183.505696
474,179.8552188,115.8527266,87.93296094,22.18928906,0.09188892,0.38149604,0.7847476,1.3425069,2.571631,2.5145006,-0.9785011,-1.234389,180.6150625,124.3860313,116.4271328,45.37509375,1,-1,-1,1,11,11,11,11,-0.08459759,-0.06617832,-0.048623085,0.056710243,0.16759986,1.4195893,0.93366575,1.7955526,0.5756811,0.88272667,0,0,0.0273575,0.014836752,0.014001885,-0.014753248,27.38544897,261.8366764,109.2063336,381.5887215
475,81.09642969,57.53687109,12.23162402,10.93697266,0.20466185,-1.7791619,0.022608375,-1.3052177,-0.38731322,3.0535324,-1.4329389,0.021070689,82.80085156,175.3053438,12.23520605,21.65304883,1,-1,1,1,13,13,13,11,0.08222008,-0.095005035,27.527443,27.655067,1.2573313,0.9210745,2.0779638,1.125519,0,0.051290076,0,0.19544289,0.023669418,0.015870944,-0.097311065,0.11077976,68.53247857,208.5270053,22.56171564,234.4090634
476,34.86582031,21.81637305,14.53873926,14.4154209,-0.38699204,0.035242293,0.7623913,0.36400226,1.7928543,-1.7487416,-0.52573836,-1.7117682,37.50936719,21.82992188,18.97265625,15.3810166,1,-1,-1,1,11,11,11,11,0.056271553,0.041357517,-0.029634953,0.00301218,0.04888694,0.8789204,0.1003095,0.5196243,0,0,0,0,0.016106177,0.0062975,0.001076877,0.113461375,5.893070737,55.31841956,17.19126844,93.14327449
477,184.4699688,85.59586719,67.26336719,29.32532813,0.12967184,-0.47793275,0.77647877,-1.120002,-2.5533593,0.054936312,-3.0520666,2.0795844,186.0230625,95.55926563,88.58004688,49.72314063,-1,-1,1,1,11,11,11,11,-0.01072979,-0.122460365,-0.012683868,-0.14913273,1.198221,4.774328,1.6383705,0.30226433,0,0,0,0,-0.000963749,0.008896094,0.021185946,-0.004971811,91.0611677,182.5779419,145.8916935,384.6105141
478,60.93503906,41.74921484,27.66611719,22.89483594,0.65700865,-0.19846599,0.080339715,0.13841492,-1.600835,2.564518,2.4093356,2.8422072,74.56667969,42.57414063,27.75545117,23.11474609,-1,-1,1,1,13,11,11,13,-0.024269104,0.08934021,-0.011257172,-0.03788948,3.9011805,1.7481543,0.6818818,2.8401284,0,0,0,0,-0.002291774,-0.019794783,-0.015161882,0.0118603,10.86861863,62.58125951,10.86861863,142.0379705
479,65.94621875,55.18980078,30.71535547,29.78405664,2.071738,1.2469174,0.995507,2.283226,-1.7332764,1.6354655,1.6239737,-1.3054534,265.914125,103.9496953,47.23456641,147.5833594,-1,-1,1,1,11,11,11,11,-0.025808334,-0.10257149,-0.026763916,0.118844986,0.8915402,1.5628395,0.2605731,0.86547273,0,0.5468,1.1368036,0,0.009840936,-0.002356337,0.026965821,0.013937337,10.38928435,102.9074608,91.8596378,204.7586217
